Iter=0, alpha=0.100, error=64.557
Iter=10, alpha=0.100, error=36.050
Iter=20, alpha=0.100, error=25.299
Iter=30, alpha=0.100, error=19.285
Iter=40, alpha=0.100, error=13.765
Iter=50, alpha=0.100, error=9.544
Iter=60, alpha=0.100, error=6.879
Iter=70, alpha=0.100, error=5.290
Iter=80, alpha=0.100, error=4.256
Iter=90, alpha=0.100, error=3.559
Iter=100, alpha=0.100, error=3.081
Iter=110, alpha=0.100, error=2.744
Iter=120, alpha=0.100, error=2.499
Iter=130, alpha=0.100, error=2.319
Iter=140, alpha=0.100, error=2.185
Iter=150, alpha=0.100, error=2.088
Iter=160, alpha=0.100, error=2.018
Iter=170, alpha=0.100, error=1.968
Iter=180, alpha=0.100, error=1.930
Iter=190, alpha=0.100, error=1.902
Iter=200, alpha=0.100, error=1.880
Iter=210, alpha=0.100, error=1.865
Iter=220, alpha=0.100, error=1.859
Iter=230, alpha=0.100, error=1.862
Iter=240, alpha=0.100, error=1.875
Iter=250, alpha=0.100, error=1.898
Iter=260, alpha=0.100, error=1.931
Iter=270, alpha=0.100, error=1.973
Iter=280, alpha=0.100, error=2.026
Iter=290, alpha=0.100, error=2.088
Iter=300, alpha=0.100, error=2.160
Iter=310, alpha=0.100, error=2.242
Iter=320, alpha=0.100, error=2.326
Iter=330, alpha=0.100, error=2.396
Iter=340, alpha=0.100, error=2.429
Iter=350, alpha=0.100, error=2.366
Iter=360, alpha=0.100, error=2.536
Iter=370, alpha=0.100, error=2.471
Iter=380, alpha=0.100, error=2.308
Iter=390, alpha=0.100, error=2.250
Iter=400, alpha=0.100, error=2.224
Iter=410, alpha=0.100, error=2.210
Iter=420, alpha=0.100, error=2.202
Iter=430, alpha=0.100, error=2.196
Iter=440, alpha=0.100, error=2.193
Iter=450, alpha=0.100, error=2.190
Iter=460, alpha=0.100, error=2.189
Iter=470, alpha=0.100, error=2.187
Iter=480, alpha=0.100, error=2.187
Iter=490, alpha=0.100, error=2.186

ID     Instance        Prediction Result  
1 [ 5.   3.   1.6  0.2] [1, 0, 0] True
2 [ 5.   3.4  1.6  0.4] [1, 0, 0] True
3 [ 5.2  3.5  1.5  0.2] [1, 0, 0] True
