Iter=0, alpha=0.100, error=58.443
Iter=10, alpha=0.100, error=29.718
Iter=20, alpha=0.100, error=16.791
Iter=30, alpha=0.100, error=9.822
Iter=40, alpha=0.100, error=6.298
Iter=50, alpha=0.100, error=4.680
Iter=60, alpha=0.100, error=3.763
Iter=70, alpha=0.100, error=3.171
Iter=80, alpha=0.100, error=2.768
Iter=90, alpha=0.100, error=2.473
Iter=100, alpha=0.100, error=2.253
Iter=110, alpha=0.100, error=2.091
Iter=120, alpha=0.100, error=1.972
Iter=130, alpha=0.100, error=1.886
Iter=140, alpha=0.100, error=1.829
Iter=150, alpha=0.100, error=1.796
Iter=160, alpha=0.100, error=1.780
Iter=170, alpha=0.100, error=1.772
Iter=180, alpha=0.100, error=1.768
Iter=190, alpha=0.100, error=1.766
Iter=200, alpha=0.100, error=1.768
Iter=210, alpha=0.100, error=1.778
Iter=220, alpha=0.100, error=1.797
Iter=230, alpha=0.100, error=1.827
Iter=240, alpha=0.100, error=1.869
Iter=250, alpha=0.100, error=1.927
Iter=260, alpha=0.100, error=1.999
Iter=270, alpha=0.100, error=2.085
Iter=280, alpha=0.100, error=2.189
Iter=290, alpha=0.100, error=2.314
Iter=300, alpha=0.100, error=2.447
Iter=310, alpha=0.100, error=2.508
Iter=320, alpha=0.100, error=3.126
Iter=330, alpha=0.100, error=3.259
Iter=340, alpha=0.100, error=3.179
Iter=350, alpha=0.100, error=2.809
Iter=360, alpha=0.100, error=2.410
Iter=370, alpha=0.100, error=2.346
Iter=380, alpha=0.100, error=2.321
Iter=390, alpha=0.100, error=2.306
Iter=400, alpha=0.100, error=2.295
Iter=410, alpha=0.100, error=2.287
Iter=420, alpha=0.100, error=2.280
Iter=430, alpha=0.100, error=2.273
Iter=440, alpha=0.100, error=2.267
Iter=450, alpha=0.100, error=2.261
Iter=460, alpha=0.100, error=2.256
Iter=470, alpha=0.100, error=2.250
Iter=480, alpha=0.100, error=2.245
Iter=490, alpha=0.100, error=2.240

ID     Instance        Prediction Result  
1 [ 4.8  3.1  1.6  0.2] [1, 0, 0] True
2 [ 5.4  3.4  1.5  0.4] [1, 0, 0] True
3 [ 5.2  4.1  1.5  0.1] [1, 0, 0] True
4 [ 5.5  4.2  1.4  0.2] [1, 0, 0] True
5 [ 4.9  3.1  1.5  0.1] [1, 0, 0] True
6 [ 5.   3.2  1.2  0.2] [1, 0, 0] True
7 [ 5.5  3.5  1.3  0.2] [1, 0, 0] True
8 [ 4.9  3.1  1.5  0.1] [1, 0, 0] True
9 [ 4.4  3.   1.3  0.2] [1, 0, 0] True
10 [ 5.1  3.4  1.5  0.2] [1, 0, 0] True
11 [ 5.   3.5  1.3  0.3] [1, 0, 0] True
12 [ 4.5  2.3  1.3  0.3] [1, 0, 0] True
13 [ 4.4  3.2  1.3  0.2] [1, 0, 0] True
14 [ 5.   3.5  1.6  0.6] [1, 0, 0] True
15 [ 5.1  3.8  1.9  0.4] [1, 0, 0] True
16 [ 4.8  3.   1.4  0.3] [1, 0, 0] True
17 [ 5.1  3.8  1.6  0.2] [1, 0, 0] True
18 [ 4.6  3.2  1.4  0.2] [1, 0, 0] True
19 [ 5.3  3.7  1.5  0.2] [1, 0, 0] True
20 [ 5.   3.3  1.4  0.2] [1, 0, 0] True
21 [ 5.5  2.4  3.8  1.1] [0, 1, 0] True
22 [ 5.5  2.4  3.7  1. ] [0, 1, 0] True
23 [ 5.8  2.7  3.9  1.2] [0, 1, 0] True
24 [ 6.   2.7  5.1  1.6] [0, 0, 1] False
25 [ 5.4  3.   4.5  1.5] [0, 0, 1] False
26 [ 6.   3.4  4.5  1.6] [0, 1, 0] True
27 [ 6.7  3.1  4.7  1.5] [0, 1, 0] True
28 [ 6.3  2.3  4.4  1.3] [0, 1, 0] True
29 [ 5.6  3.   4.1  1.3] [0, 1, 0] True
30 [ 5.5  2.5  4.   1.3] [0, 1, 0] True
31 [ 5.5  2.6  4.4  1.2] [0, 1, 0] True
32 [ 6.1  3.   4.6  1.4] [0, 1, 0] True
33 [ 5.8  2.6  4.   1.2] [0, 1, 0] True
34 [ 5.   2.3  3.3  1. ] [0, 1, 0] True
35 [ 5.6  2.7  4.2  1.3] [0, 1, 0] True
36 [ 5.7  3.   4.2  1.2] [0, 1, 0] True
37 [ 5.7  2.9  4.2  1.3] [0, 1, 0] True
38 [ 6.2  2.9  4.3  1.3] [0, 1, 0] True
39 [ 5.1  2.5  3.   1.1] [0, 1, 0] True
40 [ 5.7  2.8  4.1  1.3] [0, 1, 0] True
41 [ 7.4  2.8  6.1  1.9] [0, 0, 1] True
42 [ 7.9  3.8  6.4  2. ] [0, 0, 1] True
43 [ 6.4  2.8  5.6  2.2] [0, 0, 1] True
44 [ 6.3  2.8  5.1  1.5] [0, 0, 1] True
45 [ 6.1  2.6  5.6  1.4] [0, 0, 1] True
46 [ 7.7  3.   6.1  2.3] [0, 0, 1] True
47 [ 6.3  3.4  5.6  2.4] [0, 0, 1] True
48 [ 6.4  3.1  5.5  1.8] [0, 0, 1] True
49 [ 6.   3.   4.8  1.8] [0, 0, 1] True
50 [ 6.9  3.1  5.4  2.1] [0, 0, 1] True
51 [ 6.7  3.1  5.6  2.4] [0, 0, 1] True
52 [ 6.9  3.1  5.1  2.3] [0, 0, 1] True
53 [ 5.8  2.7  5.1  1.9] [0, 0, 1] True
54 [ 6.8  3.2  5.9  2.3] [0, 0, 1] True
55 [ 6.7  3.3  5.7  2.5] [0, 0, 1] True
56 [ 6.7  3.   5.2  2.3] [0, 0, 1] True
57 [ 6.3  2.5  5.   1.9] [0, 0, 1] True
58 [ 6.5  3.   5.2  2. ] [0, 0, 1] True
59 [ 6.2  3.4  5.4  2.3] [0, 0, 1] True
60 [ 5.9  3.   5.1  1.8] [0, 0, 1] True
------------------ Results ---------------------
Iterations = 500     Learning Rate = 0.100
Error Value = 2.2361
Correctly Predicted = 58     Badly Predicted = 2
