Iter=0, alpha=0.100, error=67.116
Iter=10, alpha=0.100, error=59.686
Iter=20, alpha=0.100, error=37.103
Iter=30, alpha=0.100, error=29.761
Iter=40, alpha=0.100, error=26.977
Iter=50, alpha=0.100, error=25.638
Iter=60, alpha=0.100, error=24.900
Iter=70, alpha=0.100, error=24.449
Iter=80, alpha=0.100, error=24.149
Iter=90, alpha=0.100, error=23.939
Iter=100, alpha=0.100, error=23.785
Iter=110, alpha=0.100, error=23.670
Iter=120, alpha=0.100, error=23.584
Iter=130, alpha=0.100, error=23.520
Iter=140, alpha=0.100, error=23.472
Iter=150, alpha=0.100, error=23.436
Iter=160, alpha=0.100, error=23.411
Iter=170, alpha=0.100, error=23.395
Iter=180, alpha=0.100, error=23.385
Iter=190, alpha=0.100, error=23.380
Iter=200, alpha=0.100, error=23.380
Iter=210, alpha=0.100, error=23.384
Iter=220, alpha=0.100, error=23.390
Iter=230, alpha=0.100, error=23.398
Iter=240, alpha=0.100, error=23.407
Iter=250, alpha=0.100, error=23.416
Iter=260, alpha=0.100, error=23.425
Iter=270, alpha=0.100, error=23.432
Iter=280, alpha=0.100, error=23.439
Iter=290, alpha=0.100, error=23.443
Iter=300, alpha=0.100, error=23.446
Iter=310, alpha=0.100, error=23.447
Iter=320, alpha=0.100, error=23.446
Iter=330, alpha=0.100, error=23.444
Iter=340, alpha=0.100, error=23.441
Iter=350, alpha=0.100, error=23.437
Iter=360, alpha=0.100, error=23.432
Iter=370, alpha=0.100, error=23.426
Iter=380, alpha=0.100, error=23.419
Iter=390, alpha=0.100, error=23.413
Iter=400, alpha=0.100, error=23.406
Iter=410, alpha=0.100, error=23.399
Iter=420, alpha=0.100, error=23.392
Iter=430, alpha=0.100, error=23.386
Iter=440, alpha=0.100, error=23.380
Iter=450, alpha=0.100, error=23.374
Iter=460, alpha=0.100, error=23.368
Iter=470, alpha=0.100, error=23.363
Iter=480, alpha=0.100, error=23.358
Iter=490, alpha=0.100, error=23.354

ID     Instance        Prediction Result  
1 [ 4.8  3.1  1.6  0.2] [1, 0, 0] True
2 [ 5.4  3.4  1.5  0.4] [1, 0, 0] True
3 [ 5.2  4.1  1.5  0.1] [1, 0, 0] True
4 [ 5.5  4.2  1.4  0.2] [1, 0, 0] True
5 [ 4.9  3.1  1.5  0.1] [1, 0, 0] True
6 [ 5.   3.2  1.2  0.2] [1, 0, 0] True
7 [ 5.5  3.5  1.3  0.2] [1, 0, 0] True
8 [ 4.9  3.1  1.5  0.1] [1, 0, 0] True
9 [ 4.4  3.   1.3  0.2] [1, 0, 0] True
10 [ 5.1  3.4  1.5  0.2] [1, 0, 0] True
11 [ 5.   3.5  1.3  0.3] [1, 0, 0] True
